지역,링크아이디,도로명,평균속도, 평균통행량 
세종특별자치시 -,4130003700,공단로,15.2,3.4
세종특별자치시 -,4130003800,공단로,15,1.2
세종특별자치시 -,4130003900,내판로,27.4,0.2
세종특별자치시 -,4130004000,내판로,26.5,0.2
세종특별자치시 -,4130004100,부강2길,15.6,13.9
세종특별자치시 -,4130004200,부강2길,15.6,14
세종특별자치시 -,4130004300,-,49.2,3.6
세종특별자치시 -,4130004400,-,49.2,3.8
세종특별자치시 -,4130004500,-,27.9,0.7
세종특별자치시 -,4130004600,-,23.8,0.7
세종특별자치시 -,4130004700,보듬4로,31,24.4
세종특별자치시 -,4130004800,보듬4로,30.7,14.9
세종특별자치시 -,4130004900,구석뜸길,37.9,39
세종특별자치시 -,4130005000,구석뜸길,35.1,32.6
세종특별자치시 -,4130005100,금송로,79.5,4.2
세종특별자치시 -,4130005200,금송로,78.6,3.1
세종특별자치시 -,4130005300,봉천길,33.7,0.9
세종특별자치시 -,4130005400,봉천길,37.4,2.6
세종특별자치시 -,4130005500,고운뜰3길,19,5.5
세종특별자치시 -,4130005600,고운뜰3길,16.9,5.7
세종특별자치시 -,4130005700,다정6길,17.9,1
세종특별자치시 -,4130005800,다정6길,18.2,0.6
세종특별자치시 -,4130005900,다정6길,51.7,2.7
세종특별자치시 -,4130006000,다정6길,54.2,3
세종특별자치시 -,4130006100,다정8길,54.9,3.1
세종특별자치시 -,4130006200,다정8길,54.8,3.2
세종특별자치시 -,4130006300,다정5길,42.1,5.6
세종특별자치시 -,4130006400,다정5길,54.3,20.9
세종특별자치시 -,4130006500,다정7길,19.3,0.8
세종특별자치시 -,4130006600,다정7길,18.3,1
세종특별자치시 -,4130006700,다정4길,22.1,1
세종특별자치시 -,4130006800,다정4길,22.2,1
세종특별자치시 -,4130006900,다정북로,25.2,127.8
세종특별자치시 -,4130007000,다정북로,23.8,130.4
세종특별자치시 -,4130007100,나성중앙1로,75.5,0
세종특별자치시 -,4130007200,나성중앙1로,61,0
세종특별자치시 -,4130007300,나성중앙3로,36.7,0
세종특별자치시 -,4130007400,나성중앙3로,64.7,0
세종특별자치시 -,4130007500,대평3길,18.2,34.3
세종특별자치시 -,4130007600,대평3길,17.9,36
세종특별자치시 -,4130007900,종합운동장2로,22,0.6
세종특별자치시 -,4130008000,종합운동장2로,20.9,0.5
세종특별자치시 -,4130008100,대평4길,14.3,13.8
세종특별자치시 -,4130008200,대평4길,15.1,14.7
세종특별자치시 -,4130008300,용포서로,24,11.6
세종특별자치시 -,4130008400,용포서로,18.8,24.9
세종특별자치시 -,4130008500,호려울로,24.3,124.6
세종특별자치시 -,4130008600,호려울로,26.2,141.8
세종특별자치시 -,4130008700,호려울로,18.2,33.9
세종특별자치시 -,4130008800,호려울로,16.8,52
세종특별자치시 -,4130008900,소담8로,16.2,25.4
세종특별자치시 -,4130009000,소담8로,15.7,24.8
세종특별자치시 -,4130009100,소담4로,28.4,53.8
세종특별자치시 -,4130009200,소담4로,25.8,47.9
세종특별자치시 -,4130009300,국책연구원4로,37.2,66.5
세종특별자치시 -,4130009400,국책연구원4로,39.6,82.7
세종특별자치시 -,4130009500,법원3로,17.6,3.5
세종특별자치시 -,4130009600,법원3로,21.6,4.8
세종특별자치시 -,4130009700,반곡1길,35.6,33.4
세종특별자치시 -,4130009800,반곡1길,29.5,31.2
세종특별자치시 -,4130009900,반곡3길,20.5,0.4
세종특별자치시 -,4130010000,반곡3길,12.8,0.4
세종특별자치시 -,4130010100,집현서로,19.8,48.8
세종특별자치시 -,4130010200,집현서로,20.4,47.2
세종특별자치시 -,4130010300,집현중앙8로,32.2,12.5
세종특별자치시 -,4130010400,집현중앙8로,34.8,10
세종특별자치시 -,4130010500,집현동로,37.3,12.5
세종특별자치시 -,4130010600,집현동로,37,12
세종특별자치시 -,4130010700,집현동로,24,24
세종특별자치시 -,4130010800,집현동로,23.1,22.2
세종특별자치시 -,4130010900,집현북로,34.1,51.3
세종특별자치시 -,4130011000,집현북로,33.5,42
세종특별자치시 -,4130011300,집현중앙6로,25.8,5.4
세종특별자치시 -,4130011400,집현중앙6로,25.1,11.1
세종특별자치시 -,4130011500,-,19.6,10.9
세종특별자치시 -,4130011600,-,17.7,10.7
세종특별자치시 -,4130011700,금남구즉로,31.8,11.5
세종특별자치시 -,4130011800,금남구즉로,39.4,2
세종특별자치시 -,4130011900,-,36.4,0.4
세종특별자치시 -,4130012000,-,36.2,0.5
세종특별자치시 -,4130012100,집현서로,32.3,21.7
세종특별자치시 -,4130012200,집현서로,34.2,23.3
세종특별자치시 -,4130012300,집현중앙6로,57.2,21.9
세종특별자치시 -,4130012400,집현중앙6로,50.8,25.8
세종특별자치시 -,4130012500,집현중앙8로,34.3,18.9
세종특별자치시 -,4130012600,집현중앙8로,35.3,18.1
세종특별자치시 -,4130012700,집현북로,45.1,34.9
세종특별자치시 -,4130012800,집현북로,45.4,28.2
세종특별자치시 -,4130012900,-,22.9,23.7
세종특별자치시 -,4130013000,-,25.2,22.2
세종특별자치시 -,4130013100,-,35.4,3
세종특별자치시 -,4130013200,-,32.2,2.9
세종특별자치시 -,4130013300,-,28.6,7.9
세종특별자치시 -,4130013400,-,28.5,6
세종특별자치시 -,4130013500,-,17.1,0.2
세종특별자치시 -,4130013600,-,17.1,0.1
세종특별자치시 -,4130013700,-,16.1,0.3
세종특별자치시 -,4130013800,-,17.7,0.2
세종특별자치시 -,4130013900,반곡2길,18.1,0.7
세종특별자치시 -,4130014000,반곡2길,18.6,0.3
세종특별자치시 -,4130014100,반곡3길,9.9,0.3
세종특별자치시 -,4130014200,반곡3길,17.8,0.2
세종특별자치시 -,4130014300,퇴미로,33.8,3.4
세종특별자치시 -,4130014400,퇴미로,24.2,7.2
세종특별자치시 -,4130014500,비암사길,36.3,0.6
세종특별자치시 -,4130014600,비암사길,36.9,0.7
세종특별자치시 -,4130014700,-,27,29.4
세종특별자치시 -,4130014800,-,27.3,30.8
세종특별자치시 -,4130014900,다정6길,38.5,24.3
세종특별자치시 -,4130015000,다정6길,40.6,21.5
세종특별자치시 -,4130015100,다정6길,20.4,1.8
세종특별자치시 -,4130015200,다정6길,19,1.8
세종특별자치시 -,4130015300,다정6길,21.4,1.7
세종특별자치시 -,4130015400,다정6길,21.8,0.9
세종특별자치시 -,4130015500,다정6길,29.5,0.2
세종특별자치시 -,4130015600,다정6길,20.4,0.9
세종특별자치시 -,4130015700,다정6길,20.2,0.6
세종특별자치시 -,4130015800,다정6길,18,0.6
세종특별자치시 -,4130015900,상석곡길,87.5,8.1
세종특별자치시 -,4130016000,상석곡길,76.7,18.4
세종특별자치시 -,4130016100,국립박물관로,38.3,60.5
세종특별자치시 -,4130016200,국립박물관로,38.1,70.9
세종특별자치시 -,4130016300,상석곡길,82,12.8
세종특별자치시 -,4130016400,상석곡길,55,8.7
세종특별자치시 -,4130016500,학교말길,24,14.7
세종특별자치시 -,4130016600,학교말길,22.4,14.9
세종특별자치시 -,4130016700,소정구길,70,67.9
세종특별자치시 -,4130016800,소정구길,69.9,70.5
세종특별자치시 -,4130016900,학교말길,8.2,0.2
세종특별자치시 -,4130017000,학교말길,10.2,0.3
세종특별자치시 -,4130017100,매실로,40.5,5
세종특별자치시 -,4130017200,매실로,36.9,7.7
세종특별자치시 -,4130017300,소정산단서로,29.7,0.5
세종특별자치시 -,4130017400,소정산단서로,33.9,0.5
세종특별자치시 -,4130017500,소정산단서로,24.3,3.5
세종특별자치시 -,4130017600,소정산단서로,24.2,2.8
세종특별자치시 -,4130017700,매실로,37.2,3.6
세종특별자치시 -,4130017800,매실로,36.1,2
세종특별자치시 -,4130017900,산단길,33.6,3.3
세종특별자치시 -,4130018000,산단길,31,3.3
세종특별자치시 -,4130018100,산단길,27.4,1.4
세종특별자치시 -,4130018200,산단길,32.5,1.5
세종특별자치시 -,4130018300,산단길,17.6,0.5
세종특별자치시 -,4130018400,산단길,16.1,0.6
세종특별자치시 -,4130018500,운주길,29.7,1.1
세종특별자치시 -,4130018600,운주길,32.8,1.1
세종특별자치시 -,4130018700,의당전의로,39,1.8
세종특별자치시 -,4130018800,의당전의로,40.2,2.2
세종특별자치시 -,4130018900,안터길,18.9,104.9
세종특별자치시 -,4130019000,안터길,28.3,96.6
세종특별자치시 -,4130019100,조치원중고길,24.9,69.5
세종특별자치시 -,4130019200,조치원중고길,20.6,67.2
세종특별자치시 -,4130019300,매실로,29.3,1.8
세종특별자치시 -,4130019400,매실로,29.7,1.9
세종특별자치시 -,4130019500,아야목길,14.4,0.9
세종특별자치시 -,4130019600,아야목길,24.3,1.8
세종특별자치시 -,4130019700,소정산단로,33.1,1.4
세종특별자치시 -,4130019800,소정산단로,30.6,1.4
세종특별자치시 -,4130019900,소정산단로,42.5,0.8
세종특별자치시 -,4130020000,소정산단로,47.1,0.4
세종특별자치시 -,4130020100,소정산단1로,35,0.5
세종특별자치시 -,4130020200,소정산단1로,33.8,0.5
세종특별자치시 -,4130020300,소정산단북로,28,1.5
세종특별자치시 -,4130020400,소정산단북로,29.1,1.4
세종특별자치시 -,4130020500,소정산단1로,17.4,0.3
세종특별자치시 -,4130020600,소정산단1로,16.9,0.1
세종특별자치시 -,4130020700,소정산단로,24.7,1.6
세종특별자치시 -,4130020800,소정산단로,31.8,1.9
세종특별자치시 -,4130020900,소정산단2로,44.4,0.2
세종특별자치시 -,4130021000,소정산단2로,41.1,0.2
세종특별자치시 -,4130021100,소정산단2로,10.3,0
세종특별자치시 -,4130021200,소정산단2로,16.5,0
세종특별자치시 -,4130021300,소정산단2로,47.9,1.3
세종특별자치시 -,4130021400,소정산단2로,48.4,1.3
세종특별자치시 -,4130021500,소정산단2로,6.5,0
세종특별자치시 -,4130021600,소정산단2로,14,0
세종특별자치시 -,4130021800,소정산단2로,18,0
세종특별자치시 -,4130021900,취금헌로,63,13.9
세종특별자치시 -,4130022000,취금헌로,46.1,14.1
세종특별자치시 -,4130022100,소정산단동로,33.1,1.2
세종특별자치시 -,4130022200,소정산단동로,27.1,1.7
세종특별자치시 -,4130022300,소정산단동로,53.1,4.2
세종특별자치시 -,4130022400,소정산단동로,53,4.8
세종특별자치시 -,4130022500,소정산단동로,20.9,1
세종특별자치시 -,4130022600,소정산단동로,14.8,0.7
세종특별자치시 -,4130022700,소정산단동로,33.5,0.9
세종특별자치시 -,4130022800,소정산단동로,41.4,0.9
세종특별자치시 -,4130022900,산단길,30.8,0.2
세종특별자치시 -,4130023000,산단길,38.3,0.4
세종특별자치시 -,4130023100,산단길,28.5,0.5
세종특별자치시 -,4130023200,산단길,31.4,0.5
세종특별자치시 -,4130023300,-,20,0.9
세종특별자치시 -,4130023400,-,21.2,0.9
세종특별자치시 -,4130023500,산단길,12.3,2
세종특별자치시 -,4130023600,산단길,14.3,1.8
세종특별자치시 -,4130023700,산단길,28.2,2.5
세종특별자치시 -,4130023800,산단길,23,5.3
세종특별자치시 -,4130023900,-,22.1,0.3
세종특별자치시 -,4130024000,-,23,0.3
세종특별자치시 -,4130024100,산단길,18.9,2.8
세종특별자치시 -,4130024200,산단길,19,2.2
세종특별자치시 -,4130024300,산단길,26.3,1.3
세종특별자치시 -,4130024400,산단길,28.6,1.6
세종특별자치시 -,4130024500,-,32.2,0.5
세종특별자치시 -,4130024600,-,29.9,0.6
세종특별자치시 -,4130024700,산단길,30.6,0.9
세종특별자치시 -,4130024800,산단길,29.5,1.5
세종특별자치시 -,4130024900,산단길,27.8,0.8
세종특별자치시 -,4130025000,산단길,35.6,0.6
세종특별자치시 -,4130025100,삼성당1길,36.6,1.8
세종특별자치시 -,4130025200,삼성당1길,33.9,1.8
세종특별자치시 -,4130025300,삼성당1길,35.5,1
세종특별자치시 -,4130025400,삼성당1길,35.7,1.3
세종특별자치시 -,4130025500,봉산로,12.6,26.4
세종특별자치시 -,4130025600,봉산로,19.5,12.5
세종특별자치시 -,4130025700,황새울골길,74.8,10.4
세종특별자치시 -,4130025800,황새울골길,76.2,8.6
세종특별자치시 -,4130025900,김처선로,51.4,11.5
세종특별자치시 -,4130026000,김처선로,51.6,11.6
세종특별자치시 -,4130026100,김처선로,58.7,26.7
세종특별자치시 -,4130026200,김처선로,60.8,27.7
세종특별자치시 -,4130026300,상석곡길,23,1.9
세종특별자치시 -,4130026400,상석곡길,23.5,1
세종특별자치시 -,4130026500,안모산길,39.1,21
세종특별자치시 -,4130026600,안모산길,41.2,20.3
세종특별자치시 -,4130026700,노장공단길,10.4,0.9
세종특별자치시 -,4130026800,노장공단길,10.3,1.8
세종특별자치시 -,4130026900,상석곡길,32.5,21.8
세종특별자치시 -,4130027000,상석곡길,32.3,36.6
세종특별자치시 -,4130027100,노장공단길,25.5,2
세종특별자치시 -,4130027200,노장공단길,27.8,1.8
세종특별자치시 -,4130027300,-,21,1.1
세종특별자치시 -,4130027400,-,22.4,0.8
세종특별자치시 -,4130027500,노장공단길,20.7,1.5
세종특별자치시 -,4130027600,노장공단길,19.8,2.3
세종특별자치시 -,4130027700,-,21.6,1.5
세종특별자치시 -,4130027800,-,25.4,0.8
세종특별자치시 -,4130027900,-,12.8,0.8
세종특별자치시 -,4130028000,-,7.5,0.3
세종특별자치시 -,4130028100,서북부로,34.5,1.1
세종특별자치시 -,4130028200,서북부로,41.8,1.2
세종특별자치시 -,4130028300,노장공단길,43.1,6.1
세종특별자치시 -,4130028400,노장공단길,41.4,7.7
세종특별자치시 -,4130028500,노장공단길,36.4,2.5
세종특별자치시 -,4130028600,노장공단길,32.4,1
세종특별자치시 -,4130028700,노장공단길,24.6,0.1
세종특별자치시 -,4130028800,노장공단길,13.6,0.1
세종특별자치시 -,4130028900,노장공단길,20.9,0.1
세종특별자치시 -,4130029000,노장공단길,11.5,0
세종특별자치시 -,4130029100,의당전의로,43.8,3.2
세종특별자치시 -,4130029200,의당전의로,43.8,2.2
세종특별자치시 -,4130029300,의당전의로,39.8,1.2
세종특별자치시 -,4130029400,의당전의로,38.7,1.7
세종특별자치시 -,4130029500,서북부서로,30.6,1.3
세종특별자치시 -,4130029600,서북부서로,29.2,1.5
세종특별자치시 -,4130029700,가느실길,38.2,2.1
세종특별자치시 -,4130029800,가느실길,36.7,1.8
세종특별자치시 -,4130029900,서북부2로,32.5,1.3
세종특별자치시 -,4130030000,서북부2로,30.9,1.7
세종특별자치시 -,4130030100,서북부서로,27.9,10.9
세종특별자치시 -,4130030200,서북부서로,29.9,6.5
세종특별자치시 -,4130030300,서북부로,39,1.3
세종특별자치시 -,4130030400,서북부로,44.6,1.3
세종특별자치시 -,4130030500,서북부로,48.8,1
세종특별자치시 -,4130030600,서북부로,44.3,1.4
세종특별자치시 -,4130030700,서북부로,41.2,1.6
세종특별자치시 -,4130030800,서북부로,36.4,2.1
세종특별자치시 -,4130030900,서북부로,23.5,3.3
세종특별자치시 -,4130031000,서북부로,30.6,5.4
세종특별자치시 -,4130031100,-,29.2,2.3
세종특별자치시 -,4130031200,-,27.2,3.2
세종특별자치시 -,4130031300,서북부1로,46.5,0.6
세종특별자치시 -,4130031400,서북부1로,46.7,0.6
세종특별자치시 -,4130031500,서북부1로,44.7,0.6
세종특별자치시 -,4130031600,서북부1로,45.5,0.6
세종특별자치시 -,4130031700,서북부3로,36.5,0.5
세종특별자치시 -,4130031800,서북부3로,32.8,0.6
세종특별자치시 -,4130031900,서북부3로,19.1,0.3
세종특별자치시 -,4130032000,서북부3로,20.2,0.4
세종특별자치시 -,4130032100,서북부5로,32.3,5.8
세종특별자치시 -,4130032200,서북부5로,32.9,6
세종특별자치시 -,4130032300,서북부3로,27.1,4.4
세종특별자치시 -,4130032400,서북부3로,25.3,5.7
세종특별자치시 -,4130032500,서북부4로,23.4,0.3
세종특별자치시 -,4130032600,서북부4로,22.1,0.2
세종특별자치시 -,4130032700,서북부2로,21,0.2
세종특별자치시 -,4130032800,서북부2로,21.5,0.2
세종특별자치시 -,4130032900,서북부2로,25.9,0.4
세종특별자치시 -,4130033000,서북부2로,21.3,0.4
세종특별자치시 -,4130033100,서북부4로,32,18.6
세종특별자치시 -,4130033200,서북부4로,32.5,21
세종특별자치시 -,4130033300,서북부2로,22.6,0.3
세종특별자치시 -,4130033400,서북부2로,21.6,0.3
세종특별자치시 -,4130033500,서북부2로,21.6,0.4
세종특별자치시 -,4130033600,서북부2로,21.3,0.3
세종특별자치시 -,4130033700,죽림로,24.8,52.8
세종특별자치시 -,4130033800,죽림로,27,51.2
세종특별자치시 -,4130033900,침산로,37.8,65
세종특별자치시 -,4130034000,침산로,40.2,65
세종특별자치시 -,4130034100,침산7길,22.1,3.4
세종특별자치시 -,4130034200,침산7길,25.3,2.7
세종특별자치시 -,4130034300,새내8길,16,131.2
세종특별자치시 -,4130034400,새내8길,19.3,147.2
세종특별자치시 -,4130034500,신흥샛터1길,23.9,40.4
세종특별자치시 -,4130034600,신흥샛터1길,24.8,40.5
세종특별자치시 -,4130034700,만동포로,20.6,21.7
세종특별자치시 -,4130034800,만동포로,23.6,18.2
세종특별자치시 -,4130034900,새내7길,24.3,145.5
세종특별자치시 -,4130035000,새내7길,26.1,87.2
세종특별자치시 -,4130035100,으뜸길,35,93.1
세종특별자치시 -,4130035200,으뜸길,46.8,84.1
세종특별자치시 -,4130035300,장안2길,18.7,25.2
세종특별자치시 -,4130035400,장안2길,18.3,27
세종특별자치시 -,4130035500,-,17.4,10.6
세종특별자치시 -,4130035600,-,16.2,12.8
세종특별자치시 -,4130035700,장안길,16.5,24.8
세종특별자치시 -,4130035800,장안길,18.7,25.7
세종특별자치시 -,4130035900,새롬남로,21.5,68.5
세종특별자치시 -,4130036000,새롬남로,24.4,64.1
세종특별자치시 -,4130036100,다막골1길,15.1,5
세종특별자치시 -,4130036200,다막골1길,14.2,4.5
세종특별자치시 -,4130036300,은행나무길,26.5,18.1
세종특별자치시 -,4130036400,은행나무길,27.2,18
세종특별자치시 -,4130036500,-,21.1,0.7
세종특별자치시 -,4130036600,-,20.8,1.7
세종특별자치시 -,4130036700,다정4길,29.3,7.7
세종특별자치시 -,4130036800,다정4길,23.5,16.3
세종특별자치시 -,4130036900,도장말길,27,19.9
세종특별자치시 -,4130037000,도장말길,27,19.5
세종특별자치시 -,4130037100,-,19.9,4.8
세종특별자치시 -,4130037200,-,22.6,3.4
세종특별자치시 -,4130037300,명학산단1로,16.8,0.4
세종특별자치시 -,4130037400,명학산단1로,17.9,0.3
세종특별자치시 -,4130037500,다정남3로,22.4,37
세종특별자치시 -,4130037600,다정남3로,18.3,39.5
세종특별자치시 -,4130037700,와룡로,36.4,22.3
세종특별자치시 -,4130037800,와룡로,38.9,21
세종특별자치시 -,4130037900,공단로,26.7,2.7
세종특별자치시 -,4130038000,공단로,23.6,2.5
세종특별자치시 -,4130038100,-,22.3,0.4
세종특별자치시 -,4130038200,-,22.4,0.2
세종특별자치시 -,4130038300,공단로,23.4,3.6
세종특별자치시 -,4130038400,공단로,20.2,3.8
세종특별자치시 -,4130038500,공단로,30,12.7
세종특별자치시 -,4130038600,공단로,29.5,11.3
세종특별자치시 -,4130038700,공단로,36.6,0.9
세종특별자치시 -,4130038800,공단로,32.2,3.4
세종특별자치시 -,4130038900,공단로,33.5,8.6
세종특별자치시 -,4130039000,공단로,32.8,6.6
세종특별자치시 -,4130039100,송용2길,32.5,5.3
세종특별자치시 -,4130039200,송용2길,30.7,5.1
세종특별자치시 -,4130039300,밝은뜰로,18.4,31.6
세종특별자치시 -,4130039400,밝은뜰로,14.4,25.4
세종특별자치시 -,4130039500,연청로,46.8,4.7
세종특별자치시 -,4130039600,연청로,49.1,5.3
세종특별자치시 -,4130039700,부국길,38.3,7.6
세종특별자치시 -,4130039800,부국길,37.6,5.5
세종특별자치시 -,4130039900,연청로,32.6,2.8
세종특별자치시 -,4130040000,연청로,35.4,2
세종특별자치시 -,4130040100,부강신대길,38.5,19.5
세종특별자치시 -,4130040200,부강신대길,36.5,19.9
세종특별자치시 -,4130040300,당산로,51.5,315.2
세종특별자치시 -,4130040400,당산로,54.8,286.6
세종특별자치시 -,4130040500,-,25.8,6.2
세종특별자치시 -,4130040600,-,25.9,5.3
세종특별자치시 -,4130040700,갈산산수로,48.9,31.4
세종특별자치시 -,4130040800,갈산산수로,43.1,37.6
세종특별자치시 -,4130040900,-,39.8,2.3
세종특별자치시 -,4130041000,-,41,1.7
세종특별자치시 -,4130041100,연청로,45.7,32.2
세종특별자치시 -,4130041200,연청로,53.7,30.6
세종특별자치시 -,4130041300,송용1길,29.2,5.6
세종특별자치시 -,4130041400,송용1길,29.7,27.3
세종특별자치시 -,4130041500,-,32.5,30.7
세종특별자치시 -,4130041600,-,33.6,45.2
세종특별자치시 -,4130041700,송암로,37,3.8
세종특별자치시 -,4130041800,송암로,40.9,2.4
세종특별자치시 -,4130041900,당곡저산로,40.7,3
세종특별자치시 -,4130042000,당곡저산로,28.2,5
세종특별자치시 -,4130042100,명학산단1로,50.8,5.2
세종특별자치시 -,4130042200,명학산단1로,52.5,4.7
세종특별자치시 -,4130042300,-,29,24.7
세종특별자치시 -,4130042400,-,28.8,25.6
세종특별자치시 -,4130042500,응암2길,43.3,0.8
세종특별자치시 -,4130042600,응암2길,37.1,0.4
세종특별자치시 -,4130042700,명학산단1로,36.5,9.7
세종특별자치시 -,4130042800,명학산단1로,35.5,7.2
세종특별자치시 -,4130042900,명학산단1로,14.6,0.1
세종특별자치시 -,4130043000,명학산단1로,14.5,0.6
세종특별자치시 -,4130043100,명학산단남로,35.6,17.9
세종특별자치시 -,4130043200,명학산단남로,38.6,20.8
세종특별자치시 -,4130043300,부강2길,26.1,12.1
세종특별자치시 -,4130043400,부강2길,26.6,8.9
세종특별자치시 -,4130043500,시장1길,20.7,3.1
세종특별자치시 -,4130043600,시장1길,19.7,3.2
세종특별자치시 -,4130043700,부강3길,18.8,13.5
세종특별자치시 -,4130043800,부강3길,18.7,11.2
세종특별자치시 -,4130043900,남성골길,28.2,7.2
세종특별자치시 -,4130044000,남성골길,30.1,8.2
세종특별자치시 -,4130044100,부강외천로,25.8,20.4
세종특별자치시 -,4130044200,부강외천로,32,20.1
세종특별자치시 -,4130044300,원앙2길,30.3,7.3
세종특별자치시 -,4130044400,원앙2길,34.4,6.9
세종특별자치시 -,4130044500,원앙1길,15.7,0.1
세종특별자치시 -,4130044600,원앙1길,14.1,0.1
세종특별자치시 -,4130044700,원앙1길,30.7,0.3
세종특별자치시 -,4130044800,원앙1길,28.6,0.1
세종특별자치시 -,4130044900,시목부강로,41.9,5.3
세종특별자치시 -,4130045000,시목부강로,42.3,5.9
세종특별자치시 -,4130045100,고운뜰3길,22.6,10.9
세종특별자치시 -,4130045200,고운뜰3길,19.5,12.3
세종특별자치시 -,4130045300,고운뜰4길,15.7,5.5
세종특별자치시 -,4130045400,고운뜰4길,17,5.8
세종특별자치시 -,4130045500,금호안골길,20.4,5
세종특별자치시 -,4130045600,금호안골길,23.9,8
세종특별자치시 -,4130045700,부강금호로,33.8,0.9
세종특별자치시 -,4130045800,부강금호로,33,0.9
세종특별자치시 -,4130045900,임난수로,47.1,593.6
세종특별자치시 -,4130046000,임난수로,29.2,426
세종특별자치시 -,4130046100,원수산로,83.4,59.6
세종특별자치시 -,4130046200,원수산로,82.1,61.7
세종특별자치시 -,4130046300,-,56.7,93.9
세종특별자치시 -,4130046400,-,59.5,85.7
세종특별자치시 -,4130046500,보듬4로,37.9,12.4
세종특별자치시 -,4130046600,보듬4로,35,12.2
세종특별자치시 -,4130046700,도담길,21.1,1.9
세종특별자치시 -,4130046800,도담길,21.3,2.6
세종특별자치시 -,4130046900,발산1길,21.4,9.4
세종특별자치시 -,4130047000,발산1길,22.6,6.4
세종특별자치시 -,4130047100,-,42.7,1.2
세종특별자치시 -,4130047200,-,43.3,1.4
세종특별자치시 -,4130047300,-,27.5,1.1
세종특별자치시 -,4130047400,-,27,0.5
세종특별자치시 -,4130047500,평기산양길,52.3,6.5
세종특별자치시 -,4130047600,평기산양길,52.3,9.8
세종특별자치시 -,4130047700,영평사길,43.3,20.1
세종특별자치시 -,4130047800,영평사길,43.8,22.1
세종특별자치시 -,4130047900,금송로,34.7,0
세종특별자치시 -,4130048000,금송로,13.3,0.1
세종특별자치시 -,4130048100,-,15.1,0.1
세종특별자치시 -,4130048200,-,12.7,0.2
세종특별자치시 -,4130048300,두만산동길,19.9,5
세종특별자치시 -,4130048400,두만산동길,27.6,4.3
세종특별자치시 -,4130048500,바른8길,34.1,2.9
세종특별자치시 -,4130048600,바른8길,33.7,3.2
세종특별자치시 -,4130048700,고성길,35.6,7.5
세종특별자치시 -,4130048800,고성길,30.2,5.8
세종특별자치시 -,4130048900,발산3길,39.5,4.7
세종특별자치시 -,4130049000,발산3길,40.5,3.6
세종특별자치시 -,4130049100,바람재로,33,3
세종특별자치시 -,4130049200,바람재로,35.3,3.9
세종특별자치시 -,4130049300,바람재로,35.4,1.9
세종특별자치시 -,4130049400,바람재로,35.7,1.8
세종특별자치시 -,4130049500,고운뜰7길,18.2,2.4
세종특별자치시 -,4130049600,고운뜰7길,23.2,0.6
세종특별자치시 -,4130049700,고운뜰7길,33.1,14.5
세종특별자치시 -,4130049800,고운뜰7길,35.4,12.8
세종특별자치시 -,4130049900,고운뜰5길,19.6,2.2
세종특별자치시 -,4130050000,고운뜰5길,21.5,1.3
세종특별자치시 -,4130050100,고운뜰5길,26.6,13.7
세종특별자치시 -,4130050200,고운뜰5길,27,12.8
세종특별자치시 -,4130050300,고운뜰7길,36.5,47.2
세종특별자치시 -,4130050400,고운뜰7길,31.9,49
세종특별자치시 -,4130050500,고운뜰6길,15.8,2.1
세종특별자치시 -,4130050600,고운뜰6길,18.3,2
세종특별자치시 -,4130050700,고운뜰2길,33.1,24.5
